token,kelas,bobot
1,Ekonomi,1.09343615E-4
10,Ekonomi,9.567566E-5
2,Ekonomi,0.0
2014,Ekonomi,0.0
3,Ekonomi,5.4671807E-5
4,Ekonomi,0.0
5,Ekonomi,5.60386E-4
6,Ekonomi,5.4671807E-5
7,Ekonomi,4.1003856E-5
9,Ekonomi,0.0
99,Ekonomi,1.3667952E-5
Abraham,Ekonomi,7.927412E-4
Aceh,Ekonomi,0.0
Ahok,Ekonomi,0.0
Ambulan,Ekonomi,1.3667952E-5
Assadiqulhaq,Ekonomi,9.567566E-5
BEJO,Ekonomi,0.0
Bara_Jokowi,Ekonomi,0.0
Bertemu,Ekonomi,0.0
Bimbim,Ekonomi,0.0
Bisniscom,Ekonomi,2.7335904E-5
Blusukan,Ekonomi,0.0024698884
Caleg,Ekonomi,0.0
Capres,Ekonomi,0.0
Cawapres,Ekonomi,0.0
Cawapresnya,Ekonomi,2.7335904E-5
Chrisnandi,Ekonomi,0.0
Dahlan,Ekonomi,8.200771E-5
Dampingi,Ekonomi,8.3374506E-4
Deal,Ekonomi,2.7335904E-5
Dolly,Ekonomi,0.0
Dunia_Que,Ekonomi,6.586369E-5
ESEMKA,Ekonomi,0.0
Effect,Ekonomi,0.0
Esemka,Ekonomi,1.3667952E-5
Fahrihamzah,Ekonomi,1.3667952E-5
Foke,Ekonomi,0.0
FollowRadioPepatah,Ekonomi,0.0
GSPB,Ekonomi,0.0
GantiJakarta,Ekonomi,1.3667952E-5
Gerindra,Ekonomi,0.0
Geruduk,Ekonomi,6.586369E-5
Golkar,Ekonomi,4.1003856E-5
Gondangdia,Ekonomi,0.0
HTTP,Ekonomi,0.0
Hafidz_Ary,Ekonomi,0.0
Haha,Ekonomi,3.2931846E-5
Hahaha,Ekonomi,1.3667952E-5
Hanura,Ekonomi,0.0
Host,Ekonomi,0.0
Hura,Ekonomi,5.4671807E-5
Ical,Ekonomi,0.0
Imin,Ekonomi,0.0
Indosiar,Ekonomi,0.0
IndosiarID,Ekonomi,0.0
Interupsi_ID,Ekonomi,1.3667952E-5
