content,original_id,from,date_created,sentiment,original_sentiment
'RT @TrioMacan2000: 5. Muncul sosok Jokowi  dia dinilai sbg antitesa Walikota sebelumnya : baik  ramah  peduli  hobi blusukan  komunikatif d?','461912846310203392','AqilAzeez','2014-05-01 23:59:39','Positive','Positive'
'Ah masa sih? RT @detikcom: Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP http://t.co/E4EVM94SL6','461912802580369412','cecep_65','2014-05-01 23:59:28','Other','Possibly Positive'
'@Interupsi_ID pencalonan pak jokowi menjadi cpres  saya sangat setuju karena pak jokowi memiliki prinsip sedikit bicara tapi banyak bekerja.','461912794082729984','LaurenSakailoat','2014-05-01 23:59:26','Other','Possibly Positive'
'7 Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP #FollowRadioPepatah','461912711949860865','UntukHatiKecil','2014-05-01 23:59:07','Other','Possibly Positive'
'6 Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP #FollowRadioPepatah','461912707482931201','UntukHatiKecil','2014-05-01 23:59:06','Other','Possibly Positive'
'5 Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP #FollowRadioPepatah','461912702512689153','UntukHatiKecil','2014-05-01 23:59:04','Other','Possibly Positive'
'5. Muncul sosok Jokowi  dia dinilai sbg antitesa Walikota sebelumnya : baik  ramah  peduli  hobi blusukan  komunikatif dst ..','461912690969948160','TrioMacan2000','2014-05-01 23:59:02','Positive','Positive'
'3 Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP #FollowRadioPepatah','461912577522401280','UntukHatiKecil','2014-05-01 23:58:35','Other','Possibly Positive'
'4 Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP #FollowRadioPepatah','461912581381185537','UntukHatiKecil','2014-05-01 23:58:35','Other','Possibly Positive'
'Hoho@_adityaiskandar @TrioMacan2000: 1. Eng ing eeng.Muncul berita duet Jokowi - Ryamizard mengerucut jdi pasangan capres/cawapres dri PDIP','461912566793392129','dwisaputro13','2014-05-01 23:58:32','Other','Possibly Negative'
'Kalau Aku Jadi Presiden! Pasangan Prabowo - Jokowi sebetulnya sangat tepat jika salah satu parpol koalisi... http://t.co/x99VLWldpX','461912533478039552','rf_ronz','2014-05-01 23:58:24','Other','Possibly Negative'
'RT @TrioMacan2000: 4. Jokowi hadir  terpilih jadi walikota Solo ditengah2 frustasi rakyat Solo pada Walikota sebelumnya yg korup  arogan  f?','461912487663652864','Yoginanthabraja','2014-05-01 23:58:13','Other','Possibly Negative'
'Jelas lah. Jokowi jago gombalin rakyat @detikcom','461912479778369536','farizrifqihasbi','2014-05-01 23:58:11','Positive','Positive'
'RT @ShareInfoUpdate: Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP http://t.co/17kb0NgjTz','461912479803531264','LukasMarker','2014-05-01 23:58:11','Other','Possibly Positive'
'2 Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP #FollowRadioPepatah','461912455271051264','UntukHatiKecil','2014-05-01 23:58:05','Other','Possibly Positive'
'newest Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP: Caleg asal PDIP mengaku mengeluarka... http://t.co/kEOzckmVEs newest','461912447666774016','suffaco','2014-05-01 23:58:04','Other','Possibly Positive'
'1 Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP #FollowRadioPepatah','461912450699255808','UntukHatiKecil','2014-05-01 23:58:04','Other','Possibly Positive'
'H. Rhoma Irama memang punya ambisi jadi presiden. tp punya komitmen jelas & tegas. anti #kacung. ogah merapat ke kubu #Jokowi.','461912437147832320','ayahnya_faris','2014-05-01 23:58:01','Other','Possibly Positive'
'@null Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP: Caleg asal PDIP mengaku mengeluarkan sediki... http://t.co/6TA0Nyfaur','461912419434909696','183Om','2014-05-01 23:57:57','Other','Possibly Positive'
'4. Jokowi hadir  terpilih jadi walikota Solo ditengah2 frustasi rakyat Solo pada Walikota sebelumnya yg korup  arogan  feodal  brengsek','461912355815710720','TrioMacan2000','2014-05-01 23:57:42','Negative','Negative'
'Tolak!!! RT @TrioMacan2000: 1. Eng ing eeng .. Muncul berita duet Jokowi - Ryamizard mengerucut jadi pasangan ... http://t.co/azYlfqkd7c','461912355895382016','radenriko','2014-05-01 23:57:42','Other','Possibly Negative'
'RT @DyahHandayani06: Suka klo bapak @jokowi_do2 udah Ketawa.. Renyah sekali rasanya :\')','461912281203212290','Didin_Mahmuddin','2014-05-01 23:57:24','Other','Possibly Positive'
'#Berita Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP: Caleg asal PDIP mengaku mengeluarkan sedi... http://t.co/F5tuPUYPZq','461912240510087168','AbdulJabarFaris','2014-05-01 23:57:14','Other','Possibly Positive'
'RT @PartaiGolput53: Catat! @Suara_Egaliter: Biarkan Sebahagian Aktivis Kiri Mendukung Jokowi  Yang Lupa Dosa Sosial Megawati Terhadap Buru?','461912217730813952','AgusWawanGunaw1','2014-05-01 23:57:09','Other','Possibly Negative'
'#ruangMP3com Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP  http://t.co/7PqhSWaR3R','461912207823892481','STriiz_25','2014-05-01 23:57:06','Other','Possibly Positive'
'RT @TrioMacan2000: 3. Siapa itu Jokowi ? Tak ada kenal 3 tahun lalu kecuali 525.000 penduduk Solo yang tertipu dgn pesona blusukannya  tp g?','461912155923554304','retorisman','2014-05-01 23:56:54','Other','Possibly Negative'
'@Jokowi_ID masih menunggu juga nih program Pak Jokowi ini untuk maju sebagai calon Presiden seperti apa? :)','461912138840166400','dillafebri','2014-05-01 23:56:50','Other','Possibly Positive'
'Ini Kata Jokowi soal Buruh Outsourcing: Kalau di dalam undang-undangnya tidak boleh menerapkan outsourcing da... http://t.co/pv459h2quv','461912112994861057','tribun_l4mpung','2014-05-01 23:56:44','Other','Possibly Negative'
'3. Siapa itu Jokowi ? Tak ada kenal 3 tahun lalu kecuali 525.000 penduduk Solo yang tertipu dgn pesona blusukannya  tp gagal makmurkan Solo','461912050042564609','TrioMacan2000','2014-05-01 23:56:29','Negative','Negative'
'Intruksi apa lagi yang harus dijalankan Jokowi....  sebagai \'manusia boneka \' yg harus selalu tunduk pada arahan cukong2 kekuasaan.','461911969600004097','agus_instrum','2014-05-01 23:56:10','Other','Possibly Positive'
'Serenyah apa rasanya mbak :) ?@DyahHandayani06: Suka klo bapak @jokowi_do2 udah Ketawa.. Renyah sekali rasanya :\')?','461911900444323841','aliimranNST','2014-05-01 23:55:53','Other','Possibly Positive'
'RT @inDeNisha: Wew @niminemlaedere: @intel_TL: Eaaa eaaa >>> KSN Tangerang: Jokowi Bapak Upah Murah http://t.co/6zWO48fP7C','461911830055485440','intel_TL','2014-05-01 23:55:36','Other','Possibly Positive'
'2. Tidak ada keraguan setitik pun thdp sosok Ryamizard. Tapi  sulit memahami jika Presiden RI nanti adalah si glembuk Jokowi. Hancur minah','461911819246784512','TrioMacan2000','2014-05-01 23:55:34','Other','Possibly Negative'
'@lordvoguemort ah enak jokowi aja=))','461911804189216768','LiamPayne_Jam','2014-05-01 23:55:30','Other','Possibly Positive'
'By : MHH Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP: Caleg asal PDIP mengaku mengelu... http://t.co/kkEYNXoMGM By : MHH','461911790863917056','SenoHDR','2014-05-01 23:55:27','Other','Possibly Positive'
'Kebangkitan Sriwijaya! Ryamizard Ryacudu Nyatakan Siap Dampingi Jokowi | Koran Online Indonesia: Bersuara Dengan Hati http://t.co/QfsHh19cr0','461911787764318208','romitachibi','2014-05-01 23:55:26','Other','Possibly Negative'
'Abraham Samad cocok RT @novitaningrumr: Mahfud MD pasrah jika tak dipilih Jokowi  http://t.co/0U24j4k9Z5. #sayapilihjokowi #jokowisamad','461911744630104064','Bintang01614616','2014-05-01 23:55:16','Positive','Positive'
